code,title,subjects,credits,description
ARTS201,"Exploring Art, Understanding Culture",arts|sociology,4,"This course will help students develop conceptual frameworks for exploring the arts as cultural practice and aesthetic experience. Concepts and issues in the study of expressive cultures will be introduced by drawing on periods, movements, genres and traditions from different world art cultures. The course will interweave experiential and analytical learning with socio-historic and critical interpretations, drawing on a variety of examples. Thematic units in the course include a consideration of art as experience; sensing, perceiving and feeling as cultural praxis; meaning making; social organization of cultural practices; power, identity and the politics of representation. Examples could be drawn from ancient, medieval, pre-modern, postcolonial and contemporary periods. Throughout the course, students will be encouraged to apply conceptual learnings to a cultural practice of their choice, giving them an opportunity to deepen their learnings from the course through immersive experience."
ARTS202,Pathways in the Arts,arts,4,"This course will introduce the students to the wide array of
 possibilities and opportunities offered by the arts as a discipline
 beyond practice. The field of art writing and criticism is
 undergoing interesting experimentation in recent times with
 several critics and writers taking recourse to new creative forms
 in writing on art. Similarly, the arts are sustained by an interlinked
 scaffolding of supporters and allies, as can be seen in arts
 management, grant making, conservation, curation, advocacy,
 activism, journalism and scholarship. Practitioners in each of
 these fields, often called mediators or translators of the arts, help
 in the dissemination, perception, transaction, and value-creation
 of arts. In other words, they form the ecosystem within which art
 can thrive. In this course, students will learn how such mediators
 have engaged with the arts through a series of seminars, talks,
 and discussions. Through separate writing workshop modules and
 working groups, students will acquire basic skills in some of these
 practices. The course aims to instill students with a curiosity to
 explore future pathways into the arts, encouraging the use of
 their interdisciplinary skills and knowledge and expanding the
 horizon of the arts beyond professional practice into everyday
 life. This course is best augmented with the Performance
 practicum course offered as well as electives focussed in some of
 these practices.
 Learning Outcomes
 1. Introduction to various practices of mediation and
 engagement with the arts.
 2. Acquiring some basic understanding and working
 knowledge of some of these practices,
 eg. writing, curation, activism etc.
 3. Enabling future interdisciplinary pathways into the arts."
ARTS205,Art Technologies and Design,arts,4,"Art Technologies and Design is an art technologies course introducing technical skills and proficiencies that equip students to participate in the ever-growing digital and multidisciplinary arts practices. We will discuss current trends in the fields of digital media design, sound art and communication. The course will focus on the philosophy of sound and listening, introducing students to industry-valued production practices in sound design for film and experimental mediums. The course will encourage learners to collaborate and innovate, based on their interests 
and experiment with professional technologies, be it hardware equipment or software. Through small-scale projects students will learn methods of recording sounds, manipulating them and stitching audio-visual narratives. Students interested in music will also be able to understand how to strike the right balance between sound design and backgrounds score in narratives. The three focal elements of the course are:
1) Introduce students to multidisciplinary forms in art and technology, with a focus on philosophy of sound and listening
2) Enable students with preliminary skills needed to handle the technical side of audio production
3) Encourage collaboration between students having different interests (for example between animators and sound designers, or photographers and musicians) and move towardsfuturistic,immersive art design projects.
Classes will involve practical and immersive tech sessions, interactions with industry
professionals and exploration of global immersive art scene in the pre and post-internet era.
Topics like phenomenology of sound, interdisciplinary approaches to art-technology, multimodal
documentation techniques and communication will be explored."
ARTS223,Performance Practicum - “This is how we Perform Today”,arts,4,"The journey of performing traditions (dance, music and theatrical performances) into the 20th century is pregnant with its immediate cultural memory. This course will focus on embodied learnings of some of the traditions that have been altered because of the post-colonial censuring that led to a normative establishment of artistic traditions as “classical” and “folk”. Through the course, students will encounter art practices such as Lavani, Gujjili poetry, Karakattam/Kattai Koothu, Raaja paat or  Stri Paat theatre performance and Reality show performances. Through media- embodiment, we will gain foundational knowledge of these forms even as we draw attention to notions of “purity” and “honour” attached to artistic traditions that affect the way we have inherited them. The course uses corporeality in practice as a tool to encounter the socio-political and economic lives of the artistes who practice these arts.
The course does not require the student to have prior knowledge in any art form, but must be willing to participate in class practicums. Grading will be commensurate with willingness and enthusiasm to experiment and learn, rather than expertise in practice. This course is meant to offer further insights towards the Pathways in the Arts course by way of lending an experiential understanding of artistic traditions. The classes will be a mix of embodied learnings (music, dance and theatre forms), video footage viewings and some discussions on performative traditions.
Learning Outcome
Students will learn a range of performative forms, in practice
Students will learn to pause and analyse the nuances of technique in footwork, movements, dialogue delivery and rhythms in each section
They will develop a language of movements  and also learn of the history and politics of embodied performance"
ARTS225,The Creative Economy,arts|business studies|economics,4,"Understanding the creative economy, new business models for the 21st century given the digital economy, practical business concepts applicable to a value creator, culminating in a business pitch exercise for creative economy ideas to real-time investors"
ARTS228,Music from Mud: Pottery Practicum,arts,4,"Clay working, instrument making, rhythm, and music have been part of human craft and culture since even before the formation of civil societies. From China to Peru, in every ancient culture around the world, clay flutes or ocarinas, clay horns or water whistles, or some other form of musical instrument, have all used the innate resonant quality of fired clay or the space that it contains, to produce musical notes and specific sounds.
This practical, hands-on course will start off by introducing students to the basic techniques of working with clay and making hollow forms by hand. Once students have a grasp of the fundamentals, they will explore and create musical instruments, as well as forms that amplify sound, both in the fired as well as the unfired stage of the clay. 
As a complement to hands-on work with clay, students will also study some of the forms and simple instruments in a range of ancient as well as modern cultures around the world through readings, research, videos, and guest lectures.
By the end of the course, students will be encouraged to experiment with creating and attempting to play their own wind, percussion, or string instruments with clay.

BASIC MATERIALS AND EQUIPMENT WILL BE PROVIDED IN THE CERAMICS STUDIO, ON CAMPUS.
Each student will need to take responsibility to not waste material, and ensure that the tools and work space is respected and maintained well, and also clean up after themselves, according to the instructions given."
ARTS229,Arts of the Deccan: The Early Modern Epoch from Vijayanagara to the Marathas,arts|history|literature,4,"In understanding the history of Indian arts, knowing the Deccan, its place and role, is crucial. In this course we will travel the triangular realm of “Dachinabades” as named in the first-century Periplus of Erythraean Sea, exploring its contours through the lens of its artistic traditions,literatures and cultures. Since this exploration will become very ambitious if we were to cover all aspects of Dakhina (Prakrit) arts, we narrow it down to the Early Modern Period (fifteenth-century onwards), a momentous time of which we have an immediate cultural memory, making the study of artistic heritages a traceable historicity. We will study the Deccan’s unique art forms and cultural practices through music, dance, literature, architecture, paintings, food and fabric that reflect the multicultural and cosmopolitan socio-political ambience in which rulers such as
Krishnadevaraya, Adil Shah, Raghunatha Nayaka, and  Serfoji each played significant roles.
Through readings, viewings and other detailed digital archival material we will learn to close- watch performative arts of the early modern era as milestones in the cultural history of India. The aim of the course is to enable students identify the distinct features of each of historical period such as the Vijayanagara, Sultanate, Nayaka and Maratha as well as to have a panoptic view of early modern era’s artistic legacies whose essence manifests in diverse cultural encounters. The course will prod us to think of deliberate omissions and censoring when the nation-state regrouped its artistic heritages. Coursework will include readings, class discussions-seminars and presentation style disseminations requiring high level of class participation, interactive assignments and some writing work. While the course does not demand any art practice background, those who are practitioners of any genre will be encouraged.
Course Objectives / Learning Outcomes:
To introduce some artistic traditions across genres from the early modern era and help
students learn/read the movement of art through its socio-political legacy
To work on some aspects of embodiment, wherever possible to add value and inspiration
to the course work
To interweave with the domain of history bringing a multi-perspective approach to
learning the arts, history, and society.

Course Objectives / Learning Outcomes:
To introduce some artistic traditions across genres from the early modern era and help
students learn/read the movement of art through its socio-political legacy
To work on some aspects of embodiment, wherever possible to add value and inspiration
to the course work
To interweave with the domain of history bringing a multi-perspective approach to
learning the arts, history, and society."
ARTS231,Practicum: Clay - Materials and Methods,arts,4,
ARTS241,"Philosophical, Aesthetic, and Social Dimensions in Bhakti: An Introduction",arts,4,"This course offers an interdisciplinary exploration of the tradition of Bhakti as an embodied practice of attention, to understand one’s relation with self, the divine, and the world. Through close readings of poetry, song, and performance across diverse Bhakti traditions (translated and in original wherever available), students will learn how to listen to various shades of expression of bhakti and what it implies; ultimately reaching an understanding that devotion, indeed, is an inadequate translation of it.
The course explores regional and vernacular Bhakti traditions through the voices of female saints like Meera, Andal, Akka Mahadevi, and Janabai. Listening to their poetry and songs in class will help students reflect on love, desire, and the subversion of social and gender norms. We then turn to Nirgun (Formless) Bhakti and the radical critiques of Kabir and Ravidas, examining their challenges to caste, ritualism, and hypocrisy, and their vision of an anti-caste world. Listening becomes a critical mode of engaging with Bhakti across its diverse textual and performance contexts. The course concludes with the introspective poetry of Lalla Ded (Lalla) of Kashmir and the living musical tradition of the Bauls of Bengal.
Drawing from religious studies, literary studies, ethnomusicology, gender studies, the course uses poetry, song, performance recordings, live performances, and films to facilitate a participatory understanding of Bhakti. Students will listen, participate in singing, read, and reflect not only on texts and performance, but also on the sensory and affective worlds they create."
ARTS242,"Moving Pictures, Moving Words",arts|literature,4,"Written texts have long informed audio-visual media, whether as the basis of story, research or in more subtle ways. Cinema and photography also have a notable history of inspiring writers, and writers sometimes experiment with weaving visual elements into their writing in a manner where the photographs are not merely illustrations of the text, and the text does not simply caption the pictures. Instead, the reader experiences the integrated, mutually enhancing relationship created between text and image.

We will examine the history of this complicated and fruitful relationship between words and pictures, whether in books, in direct film adaptations or in inventive recreations. We will view different kinds of non-fiction films, from classic documentaries to more poetic and elliptical uses of the cinematic medium. Discussing and analysing these will widen the understanding of how words, both spoken and written, work when forming partnerships with moving images and sound.

Course Objectives / Learning Outcomes: Discussing and analysing these will widen the understanding of how words, both spoken and written, work when forming partnerships with moving images and sound."
